indicator,road,date,forecast,lower_95,upper_95
train_km,В-Сиб,2026-06-01,10917324.700952072,8795808.392172828,13038841.009731315
train_km,В-Сиб,2026-07-01,8844064.17382039,6722547.865041146,10965580.482599633
train_km,В-Сиб,2026-08-01,8629984.414478008,6508468.105698764,10751500.723257251
train_km,В-Сиб,2026-09-01,7921076.269341484,5799559.96056224,10042592.578120727
train_km,В-Сиб,2026-10-01,10304352.3031448,8182835.994365556,12425868.611924043
train_km,В-Сиб,2026-11-01,7477462.730103838,5355946.421324596,9598979.03888308
train_km,В-Сиб,2026-12-01,8222868.918009494,6101352.609230252,10344385.226788737
train_km,Заб,2026-01-01,10401154.0618452,8300979.997783943,12501328.125906456
train_km,Заб,2026-02-01,13656506.977678088,11556332.913616832,15756681.041739345
train_km,Заб,2026-03-01,11273408.301430872,9173234.237369616,13373582.365492128
train_km,Заб,2026-04-01,10907456.071360039,8807282.007298782,13007630.135421295
train_km,Заб,2026-05-01,11731587.263461312,9631413.199400056,13831761.327522568
train_km,Заб,2026-06-01,9994272.914919911,7894098.850858654,12094446.978981167
train_km,Заб,2026-07-01,10239778.085847665,8139604.021786408,12339952.149908923
train_km,Заб,2026-08-01,9114465.70964887,7014291.645587613,11214639.773710128
train_km,Заб,2026-09-01,8391261.658221029,6291087.594159772,10491435.722282287
train_km,Заб,2026-10-01,8302722.197980427,6202548.13391917,10402896.262041684
train_km,Заб,2026-11-01,10319887.526738038,8219713.462676781,12420061.590799294
train_km,Заб,2026-12-01,10615536.131568275,8515362.067507017,12715710.195629533
train_km,Двост,2026-01-01,10468279.403591087,7743433.887036031,13193124.920146143
train_km,Двост,2026-02-01,9684289.604411457,6959444.087856401,12409135.120966513
train_km,Двост,2026-03-01,11750091.687879361,9025246.171324305,14474937.204434417
train_km,Двост,2026-04-01,11456519.31644569,8731673.799890634,14181364.833000746
train_km,Двост,2026-05-01,11475205.73451945,8750360.217964394,14200051.251074506
train_km,Двост,2026-06-01,11060541.626751255,8335696.110196199,13785387.143306311
train_km,Двост,2026-07-01,9649992.585415004,6925147.068859948,12374838.10197006
train_km,Двост,2026-08-01,9600343.73799543,6875498.221440375,12325189.254550487
train_km,Двост,2026-09-01,8664202.966625009,5939357.450069953,11389048.483180065
train_km,Двост,2026-10-01,8956031.88614197,6231186.369586915,11680877.402697027
train_km,Двост,2026-11-01,8455006.331417184,5730160.814862128,11179851.84797224
train_km,Двост,2026-12-01,9502078.068514556,6777232.5519595,12226923.585069612
loss_12,Окт,2026-01-01,1206.8564036406042,-146.2105564451574,2559.923363726366
loss_12,Окт,2026-02-01,1936.5365616888594,583.4696016030978,3289.603521774621
loss_12,Окт,2026-03-01,1891.3510990960922,538.2841390103306,3244.418059181854
loss_12,Окт,2026-04-01,2363.322164847471,1010.2552047617094,3716.389124933233
loss_12,Окт,2026-05-01,2259.8467472576326,906.779787171871,3612.913707343394
loss_12,Окт,2026-06-01,1989.7171003350782,636.6501402493166,3342.7840604208395
loss_12,Окт,2026-07-01,1137.726067563865,-215.34089252189665,2490.7930276496263
loss_12,Окт,2026-08-01,892.0024315187566,-461.064528567005,2245.0693916045184
loss_12,Окт,2026-09-01,910.3063036395081,-442.7606564462535,2263.3732637252697
loss_12,Окт,2026-10-01,458.6957043355769,-894.3712557501847,1811.7626644213385
loss_12,Окт,2026-11-01,961.6849556219975,-391.38200446376413,2314.751915707759
loss_12,Окт,2026-12-01,519.9027503492872,-833.1642097364744,1872.969710435049
loss_12,Клнг,2026-01-01,138.65619072286677,13.148070834072826,264.1643106116607
loss_12,Клнг,2026-02-01,276.548805353665,151.04068546487105,402.05692524245893
loss_12,Клнг,2026-03-01,414.111455621349,288.6033357325551,539.619575510143
loss_12,Клнг,2026-04-01,504.11800201788145,378.6098821290875,629.6261219066754
loss_12,Клнг,2026-05-01,289.07538083756816,163.56726094877422,414.5835007263621
loss_12,Клнг,2026-06-01,244.0968403639385,118.58872047514456,369.60496025273244
loss_12,Клнг,2026-07-01,60.687154560490086,-64.82096532830386,186.19527444928403
loss_12,Клнг,2026-08-01,6.5025811289483215,-119.00553875984562,132.01070101774226
loss_12,Клнг,2026-09-01,105.01310130391303,-20.49501858488091,230.52122119270697
loss_12,Клнг,2026-10-01,19.10600370864654,-106.4021161801474,144.61412359744048
loss_12,Клнг,2026-11-01,10.013334295775593,-115.49478559301835,135.52145418456954
loss_12,Клнг,2026-12-01,48.734129997788386,-76.77398989100556,174.24224988658233
loss_12,Моск,2026-01-01,2625.4391312358066,248.2391091709069,5002.639153300706
loss_12,Моск,2026-02-01,2826.2995126784926,449.09949061359293,5203.499534743392
loss_12,Моск,2026-03-01,3132.0330981709467,754.833076106047,5509.233120235846
loss_12,Моск,2026-04-01,2624.8876644582756,247.68764239337588,5002.087686523175
loss_12,Моск,2026-05-01,3300.472209050337,923.2721869854372,5677.672231115237
loss_12,Моск,2026-06-01,2159.3529525224603,-217.84706954243939,4536.55297458736
loss_12,Моск,2026-07-01,2155.0012645985585,-222.19875746634125,4532.201286663458
loss_12,Моск,2026-08-01,2353.8419312530377,-23.358090811861985,4731.041953317937
loss_12,Моск,2026-09-01,1461.6254556757826,-915.5745663891171,3838.8254777406823
loss_12,Моск,2026-10-01,1474.4958032472691,-902.7042188176306,3851.695825312169
loss_12,Моск,2026-11-01,1720.3486603647934,-656.8513617001063,4097.548682429693
loss_12,Моск,2026-12-01,1911.0534451781386,-466.14657688676107,4288.253467243038
loss_12,Горьк,2026-01-01,1083.3824549667218,103.917486028751,2062.8474239046927
loss_12,Горьк,2026-02-01,1075.114523451467,95.64955451349624,2054.5794923894377
loss_12,Горьк,2026-03-01,1321.2587218305905,341.79375289261975,2300.723690768561
loss_12,Горьк,2026-04-01,1423.5983507468463,444.1333818088756,2403.063319684817
loss_12,Горьк,2026-05-01,1316.1538206815658,336.688851743595,2295.6187896195365
loss_12,Горьк,2026-06-01,973.7109748587983,-5.7539940791724575,1953.175943796769
loss_12,Горьк,2026-07-01,1068.3227795616522,88.85781062368142,2047.787748499623
loss_12,Горьк,2026-08-01,853.0061229646005,-126.45884597337022,1832.4710919025713
loss_12,Горьк,2026-09-01,530.45770611761,-449.0072628203608,1509.9226750555808
loss_12,Горьк,2026-10-01,424.7988805585505,-554.6660883794202,1404.2638494965213
loss_12,Горьк,2026-11-01,311.5726487255788,-667.892320212392,1291.0376176635496
loss_12,Горьк,2026-12-01,475.8155597855568,-503.64940915241397,1455.2805287235276
loss_12,Сев,2026-01-01,653.3432209318097,-167.5965709099122,1474.2830127735315
loss_12,Сев,2026-02-01,1237.4833363307398,416.5435444890179,2058.4231281724615
loss_12,Сев,2026-03-01,1727.5419345893533,906.6021427476314,2548.481726431075
loss_12,Сев,2026-04-01,1718.1414207628338,897.2016289211119,2539.0812126045557
loss_12,Сев,2026-05-01,1689.1264031888559,868.186611347134,2510.0661950305775
loss_12,Сев,2026-06-01,1173.8769523103604,352.93716046863847,1994.8167441520823
loss_12,Сев,2026-07-01,1006.2679926456445,185.32820080392264,1827.2077844873666
loss_12,Сев,2026-08-01,301.09233834108977,-519.8474535006321,1122.0321301828117
loss_12,Сев,2026-09-01,411.1505635369855,-409.7892283047364,1232.0903553787075
loss_12,Сев,2026-10-01,220.87122167629514,-600.0685701654268,1041.811013518017
loss_12,Сев,2026-11-01,541.8717790728954,-279.0680127688265,1362.8115709146173
loss_12,Сев,2026-12-01,612.6052086013758,-208.3345832403461,1433.5450004430977
loss_12,С-Кав,2026-01-01,610.149618632317,-618.3765924039885,1838.6758296686226
loss_12,С-Кав,2026-02-01,1289.9843006466576,61.45808961035209,2518.510511682963
loss_12,С-Кав,2026-03-01,1704.1836492513798,475.6574382150743,2932.7098602876854
loss_12,С-Кав,2026-04-01,1961.1993493765656,732.67313834026,3189.7255604128713
loss_12,С-Кав,2026-05-01,1467.7544557328183,239.22824469651277,2696.280666769124
loss_12,С-Кав,2026-06-01,1273.474898941227,44.94868790492137,2502.0011099775325
loss_12,С-Кав,2026-07-01,869.7046461928915,-358.8215648434141,2098.2308572291968
loss_12,С-Кав,2026-08-01,523.352291947984,-705.1739190883216,1751.8785029842895
loss_12,С-Кав,2026-09-01,203.2020141739231,-1025.3241968623825,1431.7282252102286
loss_12,С-Кав,2026-10-01,125.7065806717344,-1102.8196303645711,1354.23279170804
loss_12,С-Кав,2026-11-01,364.11686832985606,-864.4093427064495,1592.6430793661616
loss_12,С-Кав,2026-12-01,277.601118948896,-950.9250920874096,1506.1273299852014
loss_12,Ю-Вост,2026-01-01,463.0318572664076,68.84952204339334,857.2141924894219
loss_12,Ю-Вост,2026-02-01,1000.519272224935,606.3369370019207,1394.7016074479493
loss_12,Ю-Вост,2026-03-01,1432.937152371292,1038.7548171482779,1827.1194875943063
loss_12,Ю-Вост,2026-04-01,991.878272400179,597.6959371771648,1386.0606076231932
loss_12,Ю-Вост,2026-05-01,1036.7717558707805,642.5894206477662,1430.9540910937947
loss_12,Ю-Вост,2026-06-01,901.5086766445746,507.32634142156036,1295.691011867589
loss_12,Ю-Вост,2026-07-01,751.0186899800133,356.836354756999,1145.2010252030275
loss_12,Ю-Вост,2026-08-01,512.2392101583091,118.05687493529484,906.4215453813233
loss_12,Ю-Вост,2026-09-01,254.47274949740427,-139.70958572561,648.6550847204185
loss_12,Ю-Вост,2026-10-01,164.3679110145256,-229.81442420848867,558.5502462375398
loss_12,Ю-Вост,2026-11-01,276.8243874578027,-117.35794776521158,671.0067226808169
loss_12,Ю-Вост,2026-12-01,260.98232179265136,-133.2000134303629,655.1646570156656
loss_12,Прив,2026-01-01,2658.9659293742407,1565.4644218110554,3752.467436937426
loss_12,Прив,2026-02-01,3750.8331442652334,2657.331636702048,4844.334651828419
loss_12,Прив,2026-03-01,3686.913736888968,2593.4122293257824,4780.415244452153
loss_12,Прив,2026-04-01,3386.865941400554,2293.364433837369,4480.36744896374
loss_12,Прив,2026-05-01,3304.9306334720522,2211.429125908867,4398.432141035238
loss_12,Прив,2026-06-01,2337.3813713829736,1243.8798638197884,3430.8828789461586
loss_12,Прив,2026-07-01,1950.659607646696,857.1581000835108,3044.1611152098812
loss_12,Прив,2026-08-01,1240.3986249995646,146.8971174363794,2333.9001325627496
loss_12,Прив,2026-09-01,596.0949556839078,-497.40655187927746,1689.596463247093
loss_12,Прив,2026-10-01,645.2730622792244,-448.2284452839608,1738.7745698424096
loss_12,Прив,2026-11-01,499.5435170602441,-593.9579905029411,1593.0450246234293
loss_12,Прив,2026-12-01,677.4934647370542,-416.00804282613103,1770.9949723002394
loss_12,Кбш,2026-01-01,1330.1371426583153,184.57985910583034,2475.6944262108
loss_12,Кбш,2026-02-01,1940.2267205611743,794.6694370086893,3085.784004113659
loss_12,Кбш,2026-03-01,2126.039531590388,980.482248037903,3271.596815142873
loss_12,Кбш,2026-04-01,2469.9532669854434,1324.3959834329585,3615.5105505379283
loss_12,Кбш,2026-05-01,2171.8760741234055,1026.3187905709206,3317.4333576758904
loss_12,Кбш,2026-06-01,1705.7305853168625,560.1733017643776,2851.287868869347
loss_12,Кбш,2026-07-01,972.4827894295327,-173.07449412295227,2118.0400729820176
loss_12,Кбш,2026-08-01,845.669460260126,-299.8878232923589,1991.226743812611
loss_12,Кбш,2026-09-01,443.2813220482618,-702.2759615042231,1588.8386056007466
loss_12,Кбш,2026-10-01,395.73735276384866,-749.8199307886363,1541.2946363163337
loss_12,Кбш,2026-11-01,775.7492402643995,-369.8080432880854,1921.3065238168845
loss_12,Кбш,2026-12-01,398.77607319801893,-746.781210354466,1544.3333567505038
loss_12,Сверд,2026-01-01,515.4975230608172,-652.9010115143035,1683.896057635938
loss_12,Сверд,2026-02-01,1276.5121489654593,108.11361439033863,2444.91068354058
loss_12,Сверд,2026-03-01,2032.28322899582,863.8846944206994,3200.681763570941
loss_12,Сверд,2026-04-01,2687.171946309706,1518.7734117345854,3855.570480884827
loss_12,Сверд,2026-05-01,1620.1028047026252,451.7042701275045,2788.501339277746
loss_12,Сверд,2026-06-01,898.8610662604019,-269.5374683147188,2067.2596008355226
loss_12,Сверд,2026-07-01,952.449094848206,-215.94943972691476,2120.847629423327
loss_12,Сверд,2026-08-01,228.8643768121832,-939.5341577629375,1397.262911387304
loss_12,Сверд,2026-09-01,-243.5504082216496,-1411.9489427967703,924.8481263534711
loss_12,Сверд,2026-10-01,-167.74653564921778,-1336.1450702243385,1000.651998925903
loss_12,Сверд,2026-11-01,50.45839441415467,-1117.9401401609662,1218.8569289892753
loss_12,Сверд,2026-12-01,195.79413738189476,-972.604397193226,1364.1926719570156
loss_12,Ю-Ур,2026-01-01,1039.7629435173621,-1576.5660138706776,3656.091900905402
loss_12,Ю-Ур,2026-02-01,2142.736909731501,-473.59204765653885,4759.065867119541
loss_12,Ю-Ур,2026-03-01,2343.829459896402,-272.4994974916376,4960.158417284441
loss_12,Ю-Ур,2026-04-01,2052.326351222369,-564.0026061656708,4668.655308610409
loss_12,Ю-Ур,2026-05-01,2362.4386391097,-253.8903182783397,4978.76759649774
loss_12,Ю-Ур,2026-06-01,1853.901255692282,-762.4277016957578,4470.230213080322
loss_12,Ю-Ур,2026-07-01,1542.570832824805,-1073.7581245632348,4158.899790212845
loss_12,Ю-Ур,2026-08-01,901.9852461378921,-1714.3437112501476,3518.3142035259316
loss_12,Ю-Ур,2026-09-01,678.0428884846981,-1938.2860689033416,3294.371845872738
loss_12,Ю-Ур,2026-10-01,828.0966161778423,-1788.2323412101973,3444.425573565882
loss_12,Ю-Ур,2026-11-01,745.6829116220893,-1870.6460457659505,3362.011869010129
loss_12,Ю-Ур,2026-12-01,1016.6142003051335,-1599.714757082906,3632.9431576931734
loss_12,З-Сиб,2026-01-01,464.77678727753465,-347.0646792195201,1276.6182537745894
loss_12,З-Сиб,2026-02-01,1191.2679372102884,379.4264707132337,2003.109403707343
loss_12,З-Сиб,2026-03-01,1631.9974750659865,820.1560085689317,2443.8389415630413
loss_12,З-Сиб,2026-04-01,1639.6992710014333,827.8578045043786,2451.540737498488
loss_12,З-Сиб,2026-05-01,1117.2662904957333,305.42482399867856,1929.107756992788
loss_12,З-Сиб,2026-06-01,1797.6406530721254,985.7991865750706,2609.48211956918
loss_12,З-Сиб,2026-07-01,577.6172936591709,-234.22417283788388,1389.4587601562257
loss_12,З-Сиб,2026-08-01,637.5444950745249,-174.29697142252985,1449.3859615715796
loss_12,З-Сиб,2026-09-01,298.48351847346396,-513.3579480235908,1110.3249849705187
loss_12,З-Сиб,2026-10-01,80.6459341050396,-731.1955323920151,892.4874006020943
loss_12,З-Сиб,2026-11-01,248.26447249972819,-563.5769939973266,1060.105938996783
loss_12,З-Сиб,2026-12-01,594.8468422941503,-216.99462420290445,1406.6883087912051
loss_12,Крас,2026-01-01,710.750828257029,-262.6017827857861,1684.103439299844
loss_12,Крас,2026-02-01,824.2285932353933,-149.12401780742175,1797.5812042782084
loss_12,Крас,2026-03-01,1196.603584684782,223.25097364196688,2169.956195727597
loss_12,Крас,2026-04-01,1412.370708026766,439.01809698395084,2385.723319069581
loss_12,Крас,2026-05-01,1395.7487973258853,422.3961862830703,2369.1014083687005
loss_12,Крас,2026-06-01,1226.8758622050645,253.5232511622495,2200.2284732478797
loss_12,Крас,2026-07-01,804.7237520947517,-168.62885894806334,1778.0763631375667
loss_12,Крас,2026-08-01,631.737029686812,-341.6155813560031,1605.089640729627
loss_12,Крас,2026-09-01,241.84160691726777,-731.5110041255473,1215.1942179600828
loss_12,Крас,2026-10-01,63.75211800897,-909.600493033845,1037.104729051785
loss_12,Крас,2026-11-01,-15.09023062530332,-988.4428416681184,958.2623804175117
loss_12,Крас,2026-12-01,581.5177028314914,-391.83490821132364,1554.8703138743065
loss_12,В-Сиб,2026-01-01,1207.1294710868426,-48.80190359067751,2463.060845764363
loss_12,В-Сиб,2026-02-01,931.5826575874221,-324.34871709009803,2187.514032264942
loss_12,В-Сиб,2026-03-01,2147.9264612206202,891.9950865431001,3403.8578358981404
loss_12,В-Сиб,2026-04-01,1884.369828413273,628.4384537357528,3140.301203090793
loss_12,В-Сиб,2026-05-01,2817.4842489940183,1561.5528743164982,4073.4156236715385
loss_12,В-Сиб,2026-06-01,1521.4483635026234,265.5169888251032,2777.3797381801432
loss_12,В-Сиб,2026-07-01,945.6989726134702,-310.2324020640499,2201.6303472909904
loss_12,В-Сиб,2026-08-01,591.9033510998004,-664.0280235777198,1847.8347257773205
loss_12,В-Сиб,2026-09-01,579.1137451487492,-676.8176295287709,1835.0451198262695
loss_12,В-Сиб,2026-10-01,137.30174309558595,-1118.629631581934,1393.2331177731062
loss_12,В-Сиб,2026-11-01,384.60296440448565,-871.3284102730345,1640.5343390820058
loss_12,В-Сиб,2026-12-01,545.1080764206815,-710.8232982568386,1801.0394510982017
loss_12,Заб,2026-01-01,2297.5006179269812,-825.2366722161632,5420.237908070126
loss_12,Заб,2026-02-01,1928.5471643307383,-1194.1901258124062,5051.284454473883
loss_12,Заб,2026-03-01,3075.181281316381,-47.556008826763446,6197.918571459526
loss_12,Заб,2026-04-01,3199.637379861746,76.90008971860152,6322.3746700048905
loss_12,Заб,2026-05-01,3030.7652280033553,-91.97206213978916,6153.5025181465
loss_12,Заб,2026-06-01,2301.7107090097124,-821.026581133432,5424.447999152857
loss_12,Заб,2026-07-01,1752.470677036063,-1370.2666131070814,4875.207967179207
loss_12,Заб,2026-08-01,98.21800809265665,-3024.519282050488,3220.955298235801
loss_12,Заб,2026-09-01,-192.2768844428274,-3315.014174585972,2930.460405700317
loss_12,Заб,2026-10-01,455.6548965832242,-2667.08239355992,3578.392186726369
loss_12,Заб,2026-11-01,-305.9435296490344,-3428.680819792179,2816.79376049411
loss_12,Заб,2026-12-01,373.68209123089446,-2749.05519891225,3496.419381374039
loss_12,Двост,2026-01-01,2147.8376726799897,-1459.3862821724156,5755.0616275323955
loss_12,Двост,2026-02-01,2591.682664527024,-1015.5412903253814,6198.90661937943
loss_12,Двост,2026-03-01,3499.9266006401076,-107.2973542122977,7107.150555492513
loss_12,Двост,2026-04-01,4332.881862867012,725.6579080146071,7940.105817719417
loss_12,Двост,2026-05-01,2635.3651785614056,-971.8587762909997,6242.5891334138105
loss_12,Двост,2026-06-01,2670.983075325008,-936.2408795273973,6278.207030177413
loss_12,Двост,2026-07-01,1569.49947059547,-2037.7244842569353,5176.723425447875
loss_12,Двост,2026-08-01,384.55150419340885,-3222.6724506589962,3991.7754590458144
loss_12,Двост,2026-09-01,413.6977754724285,-3193.526179379977,4020.921730324834
loss_12,Двост,2026-10-01,-66.63477380746463,-3673.85872865987,3540.5891810449407
loss_12,Двост,2026-11-01,451.5994240200821,-3155.624530832323,4058.8233788724874
loss_12,Двост,2026-12-01,802.9535841877776,-2804.270370664628,4410.177539040183
loss_3,Окт,2026-01-01,217.02357463161556,-172.24919324927973,606.2963425125108
loss_3,Окт,2026-02-01,311.1894121040418,-78.08335577685347,700.4621799849372
loss_3,Окт,2026-03-01,347.4580235952983,-41.81474428559699,736.7307914761936
loss_3,Окт,2026-04-01,604.6584369232363,215.38566904234102,993.9312048041315
loss_3,Окт,2026-05-01,536.1815786425922,146.90881076169688,925.4543465234874
loss_3,Окт,2026-06-01,428.43629546858347,39.16352758768818,817.7090633494788
loss_3,Окт,2026-07-01,286.76182224678206,-102.51094563411323,676.0345901276773
loss_3,Окт,2026-08-01,54.158913094939294,-335.113854785956,443.4316809758346
loss_3,Окт,2026-09-01,49.94617486176213,-339.32659301913316,439.2189427426574
loss_3,Окт,2026-10-01,33.49485681167474,-355.7779110692205,422.76762469257005
loss_3,Окт,2026-11-01,31.24466120529658,-358.0281066755987,420.5174290861919
loss_3,Окт,2026-12-01,63.41731670239878,-325.85545117849654,452.69008458329404
loss_3,Клнг,2026-01-01,49.59159948915512,-108.62056200685544,207.8037609851657
loss_3,Клнг,2026-02-01,120.5037114950022,-37.70845000100837,278.71587299101276
loss_3,Клнг,2026-03-01,145.48881597544957,-12.723345520560997,303.70097747146013
loss_3,Клнг,2026-04-01,117.6898287398578,-40.522332756152764,275.90199023586837
loss_3,Клнг,2026-05-01,129.38097632935438,-28.831185166656184,287.5931378253649
loss_3,Клнг,2026-06-01,42.8813126844459,-115.33084881156466,201.09347418045647
loss_3,Клнг,2026-07-01,50.585618453761654,-107.62654304224891,208.79777994977223
loss_3,Клнг,2026-08-01,28.919364207348636,-129.29279728866192,187.13152570335922
loss_3,Клнг,2026-09-01,16.26644922591604,-141.94571227009453,174.4786107219266
loss_3,Клнг,2026-10-01,17.50211445561139,-140.71004704039916,175.71427595162197
loss_3,Клнг,2026-11-01,24.366995647371112,-133.84516584863945,182.57915714338168
loss_3,Клнг,2026-12-01,42.36062424054113,-115.85153725546944,200.57278573655168
loss_3,Моск,2026-01-01,282.67335104007674,-87.31215080207676,652.6588528822302
loss_3,Моск,2026-02-01,477.4500774477466,107.4645756055931,847.4355792899
loss_3,Моск,2026-03-01,517.0208929233827,147.0353910812292,887.0063947655362
loss_3,Моск,2026-04-01,602.1081764802514,232.12267463809786,972.0936783224049
loss_3,Моск,2026-05-01,585.0873059340863,215.10180409193282,955.0728077762399
loss_3,Моск,2026-06-01,326.8230133369869,-43.16248850516661,696.8085151791404
loss_3,Моск,2026-07-01,74.72510226220606,-295.26039957994743,444.71060410435956
loss_3,Моск,2026-08-01,52.689275738099525,-317.29622610405397,422.674777580253
loss_3,Моск,2026-09-01,42.78351334089567,-327.2019885012578,412.7690151830492
loss_3,Моск,2026-10-01,77.22140077144462,-292.7641010707089,447.2069026135981
loss_3,Моск,2026-11-01,63.07526808058577,-306.9102337615677,433.06076992273927
loss_3,Моск,2026-12-01,83.45673004043906,-286.52877180171447,453.4422318825925
loss_3,Горьк,2026-01-01,99.93955731152334,-94.5752876554536,294.4544022785003
loss_3,Горьк,2026-02-01,400.22335762536443,205.7085126583875,594.7382025923414
loss_3,Горьк,2026-03-01,417.4744103576436,222.95956539066665,611.9892553246206
loss_3,Горьк,2026-04-01,421.3070957406112,226.79225077363427,615.8219407075882
loss_3,Горьк,2026-05-01,377.08556202992304,182.5707170629461,571.6004069969
loss_3,Горьк,2026-06-01,212.56135753012867,18.046512563151737,407.0762024971056
loss_3,Горьк,2026-07-01,157.08942702051817,-37.425417946458765,351.6042719874951
loss_3,Горьк,2026-08-01,80.36192087805895,-114.15292408891798,274.8767658450359
loss_3,Горьк,2026-09-01,108.16290295989701,-86.35194200707993,302.67774792687396
loss_3,Горьк,2026-10-01,63.35848277073606,-131.15636219624088,257.873327737713
loss_3,Горьк,2026-11-01,66.27393424009972,-128.24091072687722,260.7887792070767
loss_3,Горьк,2026-12-01,96.5422076048119,-97.97263736216503,291.05705257178886
loss_3,Сев,2026-01-01,323.71142434994374,-55.995515947347144,703.4183646472346
loss_3,Сев,2026-02-01,425.62568341635125,45.918743119060366,805.3326237136421
loss_3,Сев,2026-03-01,570.7696315469175,191.0626912496266,950.4765718442084
loss_3,Сев,2026-04-01,702.5950985578543,322.8881582605634,1082.3020388551452
loss_3,Сев,2026-05-01,628.6401612580639,248.93322096077304,1008.3471015553548
loss_3,Сев,2026-06-01,475.12241650861375,95.41547621132287,854.8293568059046
loss_3,Сев,2026-07-01,382.40188104416126,2.6949407468703725,762.1088213414521
loss_3,Сев,2026-08-01,305.71328591771197,-73.99365437957891,685.4202262150029
loss_3,Сев,2026-09-01,315.56585050051666,-64.14108979677422,695.2727907978076
loss_3,Сев,2026-10-01,292.35844510886614,-87.34849518842475,672.065385406157
loss_3,Сев,2026-11-01,296.35412923597255,-83.35281106131833,676.0610695332634
loss_3,Сев,2026-12-01,436.2306012850278,56.52366098773689,815.9375415823187
loss_3,С-Кав,2026-01-01,198.37778623558597,-486.81374924253964,883.5693217137116
loss_3,С-Кав,2026-02-01,575.208266831092,-109.98326864703358,1260.3998023092176
loss_3,С-Кав,2026-03-01,588.4779726351301,-96.71356284299554,1273.6695081132557
loss_3,С-Кав,2026-04-01,523.3345730180027,-161.85696246012287,1208.5261084961285
loss_3,С-Кав,2026-05-01,436.0389888785544,-249.15254659957122,1121.23052435668
loss_3,С-Кав,2026-06-01,582.6936333151154,-102.49790216301017,1267.885168793241
loss_3,С-Кав,2026-07-01,58.43906803865386,-626.7524674394717,743.6306035167795
loss_3,С-Кав,2026-08-01,23.97761742122276,-661.2139180569029,709.1691528993483
loss_3,С-Кав,2026-09-01,-14.48821122689435,-699.67974670502,670.7033242512313
loss_3,С-Кав,2026-10-01,77.49775504561705,-607.6937804325086,762.6892905237427
loss_3,С-Кав,2026-11-01,24.792387249948746,-660.3991482281768,709.9839227280744
loss_3,С-Кав,2026-12-01,-4.45198600427085,-689.6435214823964,680.7395494738548
loss_3,Ю-Вост,2026-01-01,119.86422628328317,-33.81388748918228,273.54234005574864
loss_3,Ю-Вост,2026-02-01,215.9271335902851,62.24901981781966,369.60524736275056
loss_3,Ю-Вост,2026-03-01,303.505547753626,149.82743398116054,457.18366152609144
loss_3,Ю-Вост,2026-04-01,347.4329625918578,193.75484881939235,501.11107636432325
loss_3,Ю-Вост,2026-05-01,334.4692133131766,180.79109954071117,488.1473270856421
loss_3,Ю-Вост,2026-06-01,115.64978407480496,-38.028329697660496,269.3278978472704
loss_3,Ю-Вост,2026-07-01,111.37469594738978,-42.30341782507567,265.05280971985525
loss_3,Ю-Вост,2026-08-01,57.16244764052922,-96.51566613193623,210.84056141299467
loss_3,Ю-Вост,2026-09-01,25.70358079349748,-127.97453297896797,179.38169456596293
loss_3,Ю-Вост,2026-10-01,28.111913186794112,-125.56620058567134,181.79002695925956
loss_3,Ю-Вост,2026-11-01,43.757930083744256,-109.9201836887212,197.43604385620972
loss_3,Ю-Вост,2026-12-01,36.1314162389848,-117.54669753348065,189.80953001145025
loss_3,Прив,2026-01-01,174.01345057759195,-386.3968049824614,734.4237061376452
loss_3,Прив,2026-02-01,667.9086086017021,107.49835304164878,1228.3188641617553
loss_3,Прив,2026-03-01,787.8698692999787,227.45961373992543,1348.2801248600322
loss_3,Прив,2026-04-01,901.8027595098021,341.39250394974874,1462.2130150698554
loss_3,Прив,2026-05-01,848.121418306952,287.7111627468987,1408.5316738670053
loss_3,Прив,2026-06-01,599.8256034925101,39.415347932456825,1160.2358590525635
loss_3,Прив,2026-07-01,376.12784243095024,-184.28241312910308,936.5380979910035
loss_3,Прив,2026-08-01,175.34354372018072,-385.0667118398726,735.753799280234
loss_3,Прив,2026-09-01,176.61457425910038,-383.79568130095294,737.0248298191536
loss_3,Прив,2026-10-01,170.44514573236648,-389.96510982768683,730.8554012924199
loss_3,Прив,2026-11-01,107.94319949646803,-452.4670560635853,668.3534550565214
loss_3,Прив,2026-12-01,162.03422575456813,-398.3760298054852,722.4444813146215
loss_3,Кбш,2026-01-01,222.52199065804817,-106.24230581270413,551.2862871288005
loss_3,Кбш,2026-02-01,449.50775340904875,120.74345693829645,778.272049879801
loss_3,Кбш,2026-03-01,615.6741600343564,286.9098635636041,944.4384565051087
loss_3,Кбш,2026-04-01,592.046116439068,263.2818199683157,920.8104129098203
loss_3,Кбш,2026-05-01,382.8378316595826,54.073535188830306,711.6021281303349
loss_3,Кбш,2026-06-01,404.59073833936384,75.82644186861154,733.3550348101162
loss_3,Кбш,2026-07-01,240.94772762496385,-87.81656884578845,569.7120240957162
loss_3,Кбш,2026-08-01,91.50384205275515,-237.26045441799715,420.26813852350745
loss_3,Кбш,2026-09-01,92.02358820484093,-236.74070826591137,420.7878846755932
loss_3,Кбш,2026-10-01,76.96353902534608,-251.80075744540622,405.72783549609835
loss_3,Кбш,2026-11-01,105.98226804417567,-222.78202842657663,434.74656451492797
loss_3,Кбш,2026-12-01,97.11108174277194,-231.65321472798036,425.87537821352424
loss_3,Сверд,2026-01-01,163.8029853029184,-288.18976128355666,615.7957318893934
